commission_id,commission_rate,commission_amount,payment_method,payment_date,1,7.1,38298,error: undefined method `first' for nil:NilClass,12/21/2020,4.1,20990,5/14/2020
1.0,4.2,21619.0,Draft,1/13/2021,,,,,,,,
2.0,3.2,34562.0,Draft,8/27/2022,,,,,,,,
3.0,2.6,9710.0,Pay Order,8/30/2021,,,,,,,,
4.0,4.1,44279.0,Pay Order,2/13/2023,,,,,,,,
5.0,3.6,45647.0,Draft,3/5/2023,,,,,,,,
6.0,4.7,13099.0,Cash,11/12/2021,,,,,,,,
7.0,5.9,44543.0,Pay Order,9/21/2022,,,,,,,,
8.0,3.6,12497.0,EFT,1/4/2019,,,,,,,,
9.0,4.4,7013.0,EFT,10/4/2023,,,,,,,,
10.0,2.1,40535.0,Cash,10/24/2019,,,,,,,,
11.0,,26656.0,Cheque,2/1/2023,,,,,,,,
12.0,2.0,5988.0,Pay Order,11/26/2023,,,,,,,,
13.0,4.0,19783.0,EFT,12/19/2022,,,,,,,,
14.0,2.4,26574.0,Draft,1/21/2022,,,,,,,,
15.0,2.2,29920.0,Cheque,5/2/2022,,,,,,,,
16.0,3.0,44301.0,Draft,3/10/2019,,,,,,,,
17.0,4.4,3083.0,Cheque,4/22/2020,,,,,,,,
18.0,6.0,13890.0,Pay Order,5/3/2022,,,,,,,,
19.0,3.2,30782.0,EFT,8/7/2021,,,,,,,,
20.0,5.0,28814.0,Draft,5/1/2022,,,,,,,,
21.0,5.4,5620.0,Cheque,2/5/2020,,,,,,,,
22.0,4.3,35552.0,EFT,3/14/2022,,,,,,,,
23.0,3.6,29997.0,Cash,8/9/2023,,,,,,,,
24.0,4.3,11025.0,Cheque,8/19/2019,,,,,,,,
25.0,2.0,34769.0,Cheque,6/29/2023,,,,,,,,
26.0,3.1,28343.0,Draft,5/19/2019,,,,,,,,
27.0,3.4,21381.0,Cheque,6/7/2023,,,,,,,,
28.0,3.7,28664.0,Pay Order,9/8/2023,,,,,,,,
29.0,5.8,25411.0,EFT,2/14/2020,,,,,,,,
30.0,5.0,8471.0,EFT,6/26/2019,,,,,,,,
31.0,2.6,35635.0,Draft,2/9/2023,,,,,,,,
32.0,6.0,13593.0,Draft,6/30/2020,,,,,,,,
33.0,3.9,24425.0,Draft,12/6/2023,,,,,,,,
34.0,5.7,34720.0,Pay Order,10/27/2020,,,,,,,,
35.0,2.8,43795.0,Pay Order,3/30/2022,,,,,,,,
36.0,2.6,1641.0,EFT,12/20/2021,,,,,,,,
37.0,5.8,1748.0,Pay Order,10/20/2021,,,,,,,,
38.0,2.1,40694.0,EFT,11/25/2023,,,,,,,,
39.0,3.0,44019.0,Cheque,10/22/2022,,,,,,,,
40.0,3.2,43795.0,EFT,11/9/2019,,,,,,,,
41.0,5.6,24506.0,Draft,3/1/2020,,,,,,,,
42.0,3.5,37408.0,Draft,3/27/2023,,,,,,,,
43.0,5.9,42107.0,EFT,5/30/2019,,,,,,,,
44.0,5.4,11650.0,EFT,7/21/2022,,,,,,,,
45.0,2.2,13154.0,Pay Order,8/21/2022,,,,,,,,
46.0,3.3,44432.0,Cheque,8/15/2021,,,,,,,,
47.0,4.1,8272.0,EFT,1/13/2019,,,,,,,,
48.0,5.4,24954.0,Cheque,12/7/2022,,,,,,,,
49.0,3.4,15858.0,Pay Order,7/7/2023,,,,,,,,
50.0,2.1,41523.0,Cheque,8/26/2023,,,,,,,,
51.0,4.3,45678.0,Draft,10/2/2021,,,,,,,,
52.0,4.9,2563.0,Cash,6/7/2021,,,,,,,,
53.0,2.1,25101.0,Cash,11/18/2023,,,,,,,,
54.0,4.9,26838.0,Pay Order,11/14/2021,,,,,,,,
55.0,4.7,36886.0,Cash,7/31/2022,,,,,,,,
56.0,5.5,21167.0,Cheque,1/25/2019,,,,,,,,
57.0,4.7,28698.0,Draft,10/11/2021,,,,,,,,
58.0,2.9,17825.0,EFT,5/7/2023,,,,,,,,
59.0,3.7,9553.0,Cheque,8/27/2019,,,,,,,,
60.0,4.0,3789.0,Pay Order,9/10/2023,,,,,,,,
61.0,3.7,35286.0,Cash,6/3/2022,,,,,,,,
62.0,2.4,18427.0,Cheque,11/6/2022,,,,,,,,
63.0,5.4,46525.0,Pay Order,9/25/2022,,,,,,,,
64.0,4.2,44655.0,Draft,12/9/2021,,,,,,,,
65.0,2.2,42571.0,EFT,11/12/2023,,,,,,,,
66.0,4.7,41174.0,Pay Order,11/26/2019,,,,,,,,
67.0,2.1,6303.0,Cash,11/19/2023,,,,,,,,
68.0,4.2,12682.0,EFT,5/27/2023,,,,,,,,
69.0,3.8,43019.0,Cash,7/11/2023,,,,,,,,
70.0,4.6,4687.0,Pay Order,2/10/2023,,,,,,,,
71.0,5.9,32838.0,Cash,2/22/2022,,,,,,,,
72.0,2.0,25213.0,EFT,3/15/2020,,,,,,,,
73.0,5.7,26711.0,Pay Order,2/21/2023,,,,,,,,
74.0,4.6,4559.0,Pay Order,1/28/2023,,,,,,,,
75.0,4.5,17124.0,Cash,9/20/2022,,,,,,,,
76.0,4.1,4341.0,EFT,7/17/2020,,,,,,,,
77.0,5.0,35037.0,Draft,11/30/2021,,,,,,,,
78.0,4.4,28133.0,Cheque,12/21/2023,,,,,,,,
79.0,3.7,24823.0,Cash,9/26/2020,,,,,,,,
80.0,3.7,7998.0,Pay Order,3/23/2022,,,,,,,,
81.0,4.5,6056.0,Cheque,3/4/2019,,,,,,,,
82.0,2.9,34905.0,EFT,6/8/2022,,,,,,,,
83.0,3.7,1701.0,Draft,7/24/2022,,,,,,,,
84.0,3.2,23339.0,EFT,5/3/2021,,,,,,,,
85.0,3.6,24231.0,Pay Order,9/2/2023,,,,,,,,
86.0,4.7,24435.0,Pay Order,11/15/2021,,,,,,,,
87.0,4.2,39919.0,Cheque,10/5/2023,,,,,,,,
88.0,5.4,25304.0,Draft,11/23/2019,,,,,,,,
89.0,5.5,37533.0,Pay Order,12/13/2023,,,,,,,,
90.0,2.2,45127.0,Draft,8/16/2021,,,,,,,,
91.0,3.9,42430.0,Cheque,1/31/2021,,,,,,,,
92.0,2.2,30449.0,Draft,8/4/2023,,,,,,,,
93.0,5.4,7938.0,Draft,8/3/2020,,,,,,,,
94.0,3.1,32482.0,Draft,7/8/2022,,,,,,,,
95.0,,33661.0,Draft,5/20/2019,,,,,,,,
96.0,5.3,25549.0,EFT,5/20/2020,,,,,,,,
97.0,4.4,14605.0,Draft,8/6/2019,,,,,,,,
98.0,4.1,6199.0,Draft,2/19/2022,,,,,,,,
99.0,3.9,33254.0,Cheque,8/28/2020,,,,,,,,
100.0,2.1,43846.0,Cash,12/5/2020,,,,,,,,
101.0,4.7,24290.0,Cash,2/14/2023,,,,,,,,
102.0,2.0,5341.0,Cheque,3/25/2021,,,,,,,,
103.0,5.1,6130.0,Pay Order,12/10/2019,,,,,,,,
104.0,2.9,21772.0,Draft,12/25/2020,,,,,,,,
105.0,2.5,33378.0,Draft,11/8/2022,,,,,,,,
106.0,3.0,5352.0,EFT,8/28/2021,,,,,,,,
107.0,3.1,962.0,Draft,6/23/2019,,,,,,,,
108.0,4.6,1865.0,Cash,7/5/2023,,,,,,,,
109.0,3.2,15842.0,Pay Order,5/3/2020,,,,,,,,
110.0,4.3,42939.0,Draft,6/13/2023,,,,,,,,
111.0,3.4,20379.0,Pay Order,9/29/2019,,,,,,,,
112.0,3.9,43841.0,EFT,3/13/2022,,,,,,,,
113.0,3.1,48910.0,EFT,7/10/2021,,,,,,,,
114.0,2.8,37518.0,Cheque,8/9/2019,,,,,,,,
115.0,3.1,16737.0,Draft,8/4/2022,,,,,,,,
116.0,3.9,5436.0,EFT,7/18/2019,,,,,,,,
117.0,3.5,36231.0,Draft,9/21/2019,,,,,,,,
118.0,4.1,6490.0,Cheque,5/1/2019,,,,,,,,
119.0,3.9,45521.0,Cheque,4/17/2023,,,,,,,,
120.0,3.6,2744.0,Cash,6/20/2021,,,,,,,,
121.0,5.8,39937.0,EFT,8/9/2022,,,,,,,,
122.0,2.8,27041.0,Cash,10/10/2020,,,,,,,,
123.0,2.6,48716.0,EFT,9/23/2023,,,,,,,,
124.0,5.1,47216.0,Pay Order,12/14/2021,,,,,,,,
125.0,4.8,44651.0,Pay Order,12/11/2023,,,,,,,,
126.0,4.5,45666.0,EFT,9/5/2023,,,,,,,,
127.0,3.1,4248.0,Cheque,8/23/2023,,,,,,,,
128.0,4.7,37524.0,Cheque,10/1/2020,,,,,,,,
129.0,4.9,19278.0,Cash,7/30/2020,,,,,,,,
130.0,4.9,21801.0,Draft,11/23/2023,,,,,,,,
131.0,2.8,9862.0,Cash,10/23/2023,,,,,,,,
132.0,,18488.0,Pay Order,2/10/2023,,,,,,,,
133.0,3.5,13758.0,EFT,8/28/2019,,,,,,,,
134.0,4.2,45578.0,Cheque,11/24/2019,,,,,,,,
135.0,2.9,8523.0,Pay Order,8/3/2022,,,,,,,,
136.0,2.6,17905.0,Cash,5/4/2023,,,,,,,,
137.0,4.6,20414.0,Cheque,5/30/2019,,,,,,,,
138.0,2.1,17455.0,Cash,11/2/2023,,,,,,,,
139.0,2.2,34176.0,Cheque,11/28/2023,,,,,,,,
140.0,4.3,24826.0,Pay Order,3/4/2020,,,,,,,,
141.0,5.2,41805.0,Cash,10/27/2020,,,,,,,,
142.0,,7344.0,Draft,10/11/2021,,,,,,,,
143.0,2.8,14311.0,Cheque,12/12/2023,,,,,,,,
144.0,4.5,43850.0,EFT,1/17/2019,,,,,,,,
145.0,5.9,11212.0,Cash,4/19/2022,,,,,,,,
146.0,4.0,19978.0,EFT,12/27/2022,,,,,,,,
147.0,2.9,20846.0,Cheque,8/14/2019,,,,,,,,
148.0,4.3,29088.0,Draft,8/19/2023,,,,,,,,
149.0,3.2,30331.0,EFT,11/5/2022,,,,,,,,
150.0,,33522.0,EFT,3/30/2020,,,,,,,,
151.0,3.1,39277.0,Cheque,1/20/2022,,,,,,,,
152.0,2.5,11285.0,Pay Order,7/7/2019,,,,,,,,
153.0,,38708.0,Cash,9/18/2020,,,,,,,,
154.0,,16633.0,Pay Order,10/12/2020,,,,,,,,
155.0,2.2,22250.0,Draft,6/8/2021,,,,,,,,
156.0,3.2,12042.0,Cheque,3/2/2020,,,,,,,,
157.0,4.5,34019.0,Cheque,12/23/2021,,,,,,,,
158.0,4.6,45912.0,Cash,12/16/2023,,,,,,,,
159.0,4.9,49645.0,Cheque,9/24/2021,,,,,,,,
160.0,2.2,37327.0,Draft,11/24/2020,,,,,,,,
161.0,5.6,31918.0,EFT,5/20/2022,,,,,,,,
162.0,3.6,13804.0,Pay Order,4/6/2021,,,,,,,,
163.0,4.9,19575.0,Draft,1/27/2021,,,,,,,,
164.0,2.4,27691.0,Pay Order,2/2/2020,,,,,,,,
165.0,2.3,34548.0,Cash,8/11/2019,,,,,,,,
166.0,2.8,11454.0,Pay Order,7/16/2021,,,,,,,,
167.0,5.3,8020.0,Cash,6/6/2022,,,,,,,,
168.0,3.7,16148.0,Draft,10/17/2019,,,,,,,,
169.0,5.3,47114.0,Cheque,2/12/2019,,,,,,,,
170.0,3.4,28729.0,Draft,2/13/2019,,,,,,,,
171.0,3.6,48752.0,Cash,7/10/2021,,,,,,,,
172.0,4.7,7487.0,Draft,12/31/2022,,,,,,,,
173.0,5.1,1054.0,Cheque,12/28/2022,,,,,,,,
174.0,,35410.0,EFT,12/10/2019,,,,,,,,
175.0,5.6,13067.0,Pay Order,4/9/2020,,,,,,,,
176.0,,37810.0,Draft,4/9/2022,,,,,,,,
177.0,5.3,15698.0,Pay Order,11/3/2022,,,,,,,,
178.0,5.0,3930.0,Cash,1/19/2023,,,,,,,,
179.0,5.0,22780.0,Pay Order,6/24/2021,,,,,,,,
180.0,4.4,5737.0,Cash,5/24/2021,,,,,,,,
181.0,2.6,24325.0,Draft,7/7/2022,,,,,,,,
182.0,2.7,8902.0,EFT,8/28/2021,,,,,,,,
183.0,2.3,21610.0,Cash,9/27/2019,,,,,,,,
184.0,3.5,20018.0,Draft,10/30/2021,,,,,,,,
185.0,5.3,6448.0,Pay Order,11/29/2022,,,,,,,,
186.0,4.6,29180.0,Cheque,12/27/2019,,,,,,,,
187.0,2.8,25161.0,Cash,9/6/2022,,,,,,,,
188.0,2.1,9472.0,EFT,3/9/2022,,,,,,,,
189.0,6.0,19487.0,Draft,10/19/2019,,,,,,,,
190.0,5.0,38243.0,Cheque,10/3/2019,,,,,,,,
191.0,3.3,27232.0,EFT,7/20/2020,,,,,,,,
192.0,3.1,8131.0,Cash,4/14/2022,,,,,,,,
193.0,,20193.0,EFT,2/4/2020,,,,,,,,
194.0,2.7,17116.0,Pay Order,1/29/2022,,,,,,,,
195.0,,16085.0,Cheque,7/31/2019,,,,,,,,
196.0,4.9,5970.0,EFT,1/13/2019,,,,,,,,
197.0,4.6,18660.0,Draft,8/9/2019,,,,,,,,
198.0,4.2,29379.0,Cheque,9/2/2022,,,,,,,,
199.0,4.1,25494.0,EFT,8/1/2019,,,,,,,,
200.0,4.5,49072.0,Draft,8/1/2023,,,,,,,,
201.0,3.6,38361.0,Pay Order,2/8/2020,,,,,,,,
202.0,5.1,16281.0,Draft,12/21/2021,,,,,,,,
203.0,4.7,7035.0,Cheque,5/4/2022,,,,,,,,
204.0,2.5,30142.0,Draft,10/6/2022,,,,,,,,
205.0,2.4,39839.0,Cash,3/13/2021,,,,,,,,
206.0,5.4,38072.0,Draft,8/15/2023,,,,,,,,
207.0,3.1,27686.0,Pay Order,10/31/2022,,,,,,,,
208.0,3.9,35403.0,EFT,5/16/2021,,,,,,,,
209.0,3.9,36094.0,Cash,5/9/2023,,,,,,,,
210.0,2.4,12282.0,Cash,8/2/2021,,,,,,,,
211.0,5.1,18433.0,EFT,3/5/2019,,,,,,,,
212.0,2.1,5929.0,Cash,2/6/2023,,,,,,,,
213.0,5.4,28226.0,Cash,4/15/2020,,,,,,,,
214.0,2.5,7987.0,EFT,11/26/2019,,,,,,,,
215.0,3.3,37975.0,Cash,8/24/2022,,,,,,,,
216.0,5.2,36687.0,EFT,5/31/2022,,,,,,,,
217.0,4.5,28877.0,Cash,4/19/2023,,,,,,,,
218.0,5.3,19215.0,Pay Order,10/13/2019,,,,,,,,
219.0,,30962.0,Pay Order,3/19/2019,,,,,,,,
220.0,,12752.0,Draft,9/23/2019,,,,,,,,
221.0,5.9,33105.0,Cheque,11/2/2021,,,,,,,,
222.0,2.4,7127.0,Pay Order,4/16/2020,,,,,,,,
223.0,5.9,5224.0,Draft,10/21/2020,,,,,,,,
224.0,2.4,2909.0,Draft,4/20/2020,,,,,,,,
225.0,5.0,48637.0,Draft,1/8/2023,,,,,,,,
226.0,2.2,37067.0,Cheque,6/11/2021,,,,,,,,
227.0,3.8,2902.0,Draft,4/3/2023,,,,,,,,
228.0,3.9,16803.0,EFT,11/21/2023,,,,,,,,
229.0,3.5,40128.0,Draft,2/2/2020,,,,,,,,
230.0,3.7,34886.0,Cash,9/1/2022,,,,,,,,
231.0,5.8,39498.0,Pay Order,8/18/2020,,,,,,,,
232.0,5.0,12644.0,Cash,3/15/2022,,,,,,,,
233.0,5.6,26542.0,EFT,3/18/2023,,,,,,,,
234.0,5.7,21110.0,Pay Order,12/13/2020,,,,,,,,
235.0,,17626.0,EFT,1/8/2019,,,,,,,,
236.0,4.3,12723.0,Cash,9/10/2022,,,,,,,,
237.0,4.1,21819.0,Pay Order,2/27/2023,,,,,,,,
238.0,5.6,18943.0,Cheque,9/4/2019,,,,,,,,
239.0,4.3,19250.0,Cheque,2/27/2020,,,,,,,,
240.0,4.2,46423.0,Cheque,2/11/2021,,,,,,,,
241.0,5.6,9646.0,Pay Order,10/3/2019,,,,,,,,
242.0,2.7,45424.0,Cash,10/15/2019,,,,,,,,
243.0,2.4,15241.0,EFT,10/9/2020,,,,,,,,
244.0,5.7,35075.0,Cheque,10/22/2022,,,,,,,,
245.0,5.1,25530.0,Pay Order,5/16/2020,,,,,,,,
246.0,5.7,35138.0,Pay Order,10/12/2021,,,,,,,,
247.0,5.1,27953.0,Draft,6/23/2019,,,,,,,,
248.0,4.0,48544.0,Cheque,10/29/2019,,,,,,,,
249.0,3.8,7938.0,EFT,8/1/2019,,,,,,,,
250.0,4.6,13454.0,Cash,1/26/2019,,,,,,,,
251.0,5.0,25100.0,Pay Order,3/17/2020,,,,,,,,
252.0,,30785.0,Pay Order,7/17/2022,,,,,,,,
253.0,,14603.0,Cash,10/16/2022,,,,,,,,
254.0,2.5,41421.0,Pay Order,8/13/2021,,,,,,,,
255.0,4.6,25644.0,EFT,4/19/2021,,,,,,,,
256.0,2.3,48921.0,Cheque,2/16/2023,,,,,,,,
257.0,2.6,13840.0,Pay Order,3/29/2019,,,,,,,,
258.0,5.7,34603.0,Cash,1/20/2021,,,,,,,,
259.0,2.3,30079.0,Pay Order,4/8/2023,,,,,,,,
260.0,3.3,30272.0,EFT,12/21/2023,,,,,,,,
261.0,2.7,8209.0,Pay Order,12/24/2021,,,,,,,,
262.0,2.4,1106.0,Cash,2/12/2021,,,,,,,,
263.0,2.5,15513.0,Cheque,12/17/2021,,,,,,,,
264.0,3.2,26806.0,Cheque,9/11/2019,,,,,,,,
265.0,3.6,11406.0,Cash,1/8/2019,,,,,,,,
266.0,3.9,1911.0,Pay Order,4/25/2019,,,,,,,,
267.0,5.0,12915.0,Cash,11/17/2022,,,,,,,,
268.0,4.8,33026.0,EFT,10/5/2019,,,,,,,,
269.0,,11828.0,Draft,9/21/2020,,,,,,,,
270.0,5.8,39780.0,Cheque,7/4/2019,,,,,,,,
271.0,2.9,34988.0,Pay Order,5/27/2020,,,,,,,,
272.0,4.1,20439.0,Cheque,6/4/2021,,,,,,,,
273.0,2.7,18447.0,EFT,1/22/2019,,,,,,,,
274.0,4.1,33578.0,EFT,5/1/2020,,,,,,,,
275.0,3.6,28711.0,Pay Order,2/6/2020,,,,,,,,
276.0,4.1,33694.0,Draft,9/22/2023,,,,,,,,
277.0,5.3,24914.0,EFT,9/7/2021,,,,,,,,
278.0,3.7,10476.0,Draft,8/17/2019,,,,,,,,
279.0,4.8,10230.0,EFT,1/24/2022,,,,,,,,
280.0,2.0,24644.0,Cash,9/24/2020,,,,,,,,
281.0,2.6,29006.0,EFT,1/11/2022,,,,,,,,
282.0,4.6,27636.0,Cheque,4/24/2023,,,,,,,,
283.0,2.6,15777.0,Pay Order,10/28/2023,,,,,,,,
284.0,5.8,35976.0,Draft,7/13/2023,,,,,,,,
285.0,4.6,18436.0,Draft,9/11/2021,,,,,,,,
286.0,4.4,25923.0,Cheque,6/11/2023,,,,,,,,
287.0,3.3,46420.0,Draft,8/25/2022,,,,,,,,
288.0,2.4,39082.0,Pay Order,7/2/2020,,,,,,,,
289.0,3.2,16278.0,Cash,9/20/2020,,,,,,,,
290.0,3.9,19489.0,Cash,2/15/2019,,,,,,,,
291.0,4.4,21553.0,Pay Order,8/20/2022,,,,,,,,
292.0,3.1,15377.0,Cheque,6/15/2022,,,,,,,,
293.0,,48459.0,Cash,12/12/2020,,,,,,,,
294.0,2.9,45075.0,Pay Order,2/18/2021,,,,,,,,
295.0,2.1,20823.0,EFT,6/29/2021,,,,,,,,
296.0,5.1,49299.0,Pay Order,1/12/2023,,,,,,,,
297.0,2.9,38204.0,Cash,11/8/2021,,,,,,,,
298.0,5.0,22282.0,Cheque,3/2/2021,,,,,,,,
299.0,3.7,26323.0,Cheque,1/16/2019,,,,,,,,
300.0,2.4,45490.0,Draft,12/24/2023,,,,,,,,
301.0,5.8,17983.0,EFT,12/21/2021,,,,,,,,
302.0,3.6,8700.0,Cheque,6/25/2020,,,,,,,,
303.0,5.0,6577.0,Pay Order,11/12/2023,,,,,,,,
304.0,,34362.0,Draft,2/1/2021,,,,,,,,
305.0,3.5,16318.0,Pay Order,1/22/2020,,,,,,,,
306.0,5.6,2804.0,Cheque,9/5/2022,,,,,,,,
307.0,4.9,22785.0,Draft,12/20/2022,,,,,,,,
