AgentID,Gender,AgeCat,AgentSince,Position
1,Male,Middle Aged,5,Property Manager
2,Female,Middle Aged,3,Broker Associate
3,Female,Middle Aged,5,Listing Coordinator
4,Male,Middle Aged,2,Listing Coordinator
5,Female,Middle Aged,2,Property Manager
6,Male,Adult,3,Broker Associate
7,Male,Middle Aged,3,Real Estate Agent
8,Female,Middle Aged,3,Real Estate Agent
9,Female,Middle Aged,6,Listing Coordinator
10,Female,Senior,5,Real Estate Agent
11,Male,Adult,2,Broker Associate
12,Male,Adult,5,Real Estate Agent
13,Male,Adult,2,Leasing Consultant
14,Male,Senior,6,Leasing Consultant
15,Male,Middle Aged,2,Real Estate Agent
16,Male,Adult,6,Listing Coordinator
17,Male,Middle Aged,6,Property Manager
18,Female,Middle Aged,2,Broker Associate
19,Male,Senior,2,Broker Associate
20,Male,Adult,3,Listing Coordinator
21,Male,Senior,6,Real Estate Agent
22,Female,Middle Aged,2,Real Estate Agent
23,Male,Senior,2,Listing Coordinator
24,Male,Middle Aged,4,Property Manager
25,Male,Middle Aged,6,Listing Coordinator
26,Female,Middle Aged,4,Property Manager
27,Female,Adult,6,Broker Associate
28,Male,Middle Aged,6,Leasing Consultant
29,Female,Senior,3,Property Manager
30,Male,Middle Aged,5,Listing Coordinator
31,Male,Middle Aged,5,Leasing Consultant
32,Male,Middle Aged,4,Leasing Consultant
33,Male,Adult,3,Leasing Consultant
34,Male,Senior,2,Leasing Consultant
35,Female,Adult,5,Real Estate Agent
36,Female,Adult,2,Leasing Consultant
37,Male,Senior,5,Listing Coordinator
38,Male,Adult,2,Listing Coordinator
39,Female,Middle Aged,3,Leasing Consultant
40,Male,Adult,6,Leasing Consultant
41,Male,Senior,6,Broker Associate
42,Male,Adult,6,Broker Associate
43,Female,Middle Aged,4,Listing Coordinator
44,Female,Adult,4,Real Estate Agent
45,Female,Adult,4,Property Manager
46,Male,Adult,6,Property Manager
47,Female,Adult,3,Listing Coordinator
48,Male,Senior,3,Property Manager
49,Male,Middle Aged,2,Property Manager
50,Male,Adult,5,Listing Coordinator
51,Male,Senior,5,Leasing Consultant
52,Male,Middle Aged,3,Property Manager
53,Female,Middle Aged,3,Property Manager
54,Male,Middle Aged,6,Broker Associate
55,Female,Middle Aged,4,Leasing Consultant
56,Female,Adult,2,Broker Associate
57,Female,Adult,3,Real Estate Agent
58,Male,Middle Aged,3,Broker Associate
59,Female,Middle Aged,6,Property Manager
60,Male,Middle Aged,4,Broker Associate
61,Male,Middle Aged,6,Real Estate Agent
62,Female,Adult,2,Property Manager
63,Male,Adult,4,Broker Associate
64,Female,Senior,3,Listing Coordinator
65,Female,Senior,6,Broker Associate
66,Male,Adult,2,Property Manager
67,Female,Adult,3,Property Manager
68,Female,Middle Aged,2,Leasing Consultant
69,Female,Senior,6,Real Estate Agent
70,Male,Middle Aged,3,Leasing Consultant
71,Female,Senior,4,Real Estate Agent
72,Male,Middle Aged,5,Broker Associate
73,Female,Adult,6,Real Estate Agent
74,Male,Senior,4,Leasing Consultant
75,Female,Middle Aged,3,Listing Coordinator
76,Male,Middle Aged,5,Real Estate Agent
77,Female,Middle Aged,4,Broker Associate
78,Male,Middle Aged,4,Real Estate Agent
79,Female,Adult,3,Leasing Consultant
80,Female,Middle Aged,6,Broker Associate
81,Female,Adult,5,Listing Coordinator
82,Female,Adult,5,Property Manager
83,Female,Senior,2,Listing Coordinator
84,Male,Adult,5,Property Manager
85,Male,Adult,5,Leasing Consultant
86,Female,Senior,5,Leasing Consultant
87,Male,Adult,4,Leasing Consultant
88,Male,Senior,4,Broker Associate
89,Male,Adult,6,Real Estate Agent
90,Male,Senior,4,Property Manager
91,Male,Adult,4,Property Manager
92,Female,Senior,2,Leasing Consultant
93,Female,Middle Aged,6,Real Estate Agent
94,Male,Middle Aged,4,Listing Coordinator
95,Male,Senior,3,Leasing Consultant
96,Male,Senior,3,Real Estate Agent
97,Female,Middle Aged,5,Leasing Consultant
98,Female,Senior,6,Leasing Consultant
99,Female,Middle Aged,5,Property Manager
100,Male,Senior,2,Property Manager
101,Male,Middle Aged,2,Broker Associate
102,Male,Adult,2,Real Estate Agent
103,Male,Adult,4,Listing Coordinator
104,Female,Middle Aged,5,Real Estate Agent
105,Female,Adult,6,Property Manager
106,Female,Adult,2,Real Estate Agent
107,Female,Senior,3,Broker Associate
108,Female,Senior,4,Listing Coordinator
109,Male,Adult,4,Real Estate Agent
110,Male,Senior,5,Broker Associate
111,Female,Adult,5,Leasing Consultant
112,Female,Senior,6,Listing Coordinator
113,Male,Senior,5,Real Estate Agent
114,Male,Adult,5,Broker Associate
115,Female,Senior,4,Leasing Consultant
116,Male,Middle Aged,3,Listing Coordinator
117,Male,Senior,5,Property Manager
118,Female,Middle Aged,4,Real Estate Agent
119,Female,Senior,2,Real Estate Agent
120,Female,Adult,4,Broker Associate
121,Female,Senior,4,Broker Associate
122,Male,Senior,2,Real Estate Agent
123,Female,Adult,5,Broker Associate
124,Female,Senior,4,Property Manager
125,Female,Adult,3,Broker Associate
126,Male,Senior,4,Real Estate Agent
127,Male,Adult,3,Real Estate Agent
128,Female,Adult,6,Leasing Consultant
129,Female,Adult,2,Listing Coordinator
130,Female,Senior,3,Real Estate Agent
131,Female,Senior,5,Broker Associate
132,Male,Senior,4,Listing Coordinator
133,Female,Senior,2,Property Manager
134,Female,Adult,4,Leasing Consultant
135,Male,Adult,3,Property Manager
136,Female,Middle Aged,2,Listing Coordinator
137,Female,Senior,5,Property Manager
138,Male,Senior,6,Listing Coordinator
139,Female,Senior,5,Listing Coordinator
140,Female,Senior,2,Broker Associate
141,Female,Adult,6,Listing Coordinator
142,Female,Middle Aged,5,Broker Associate
143,Male,Middle Aged,2,Leasing Consultant
144,Male,Senior,3,Listing Coordinator
145,Female,Senior,3,Leasing Consultant
146,Female,Adult,4,Listing Coordinator
147,Female,Middle Aged,6,Leasing Consultant
148,Female,Senior,6,Property Manager
149,Male,Senior,3,Broker Associate
150,Male,Senior,6,Property Manager
151,Female,Middle Aged,1,Leasing Consultant
152,Male,Senior,1,Real Estate Agent
153,Male,Middle Aged,1,Real Estate Agent
154,Male,Adult,1,Broker Associate
155,Female,Middle Aged,1,Listing Coordinator
156,Female,Adult,1,Broker Associate
157,Female,Senior,1,Listing Coordinator
158,Male,Adult,1,Listing Coordinator
159,Male,Senior,1,Broker Associate
160,Female,Adult,1,Listing Coordinator
161,Female,Adult,1,Leasing Consultant
162,Male,Middle Aged,1,Listing Coordinator
163,Male,Middle Aged,1,Property Manager
164,Male,Middle Aged,1,Leasing Consultant
165,Female,Middle Aged,1,Property Manager
166,Male,Adult,1,Real Estate Agent
167,Female,Middle Aged,1,Real Estate Agent
168,Male,Adult,1,Property Manager
169,Male,Senior,1,Leasing Consultant
170,Male,Middle Aged,1,Broker Associate
171,Female,Adult,1,Property Manager
172,Male,Senior,1,Listing Coordinator
173,Female,Senior,1,Leasing Consultant
174,Female,Middle Aged,1,Broker Associate
175,Female,Senior,1,Property Manager
176,Male,Senior,1,Property Manager
177,Female,Adult,1,Real Estate Agent
178,Female,Senior,1,Real Estate Agent
179,Male,Adult,1,Leasing Consultant
180,Female,Senior,1,Broker Associate
181,Female,Young,1,Broker Associate
182,Female,Young,0,Broker Associate
183,Female,Adult,10,Senior Agent
184,Male,Adult,9,Junior Agent
185,Female,Adult,7,Listing Agent
